feature,weight,overall_avg_total_time,case_1_avg_total_time,case_2_avg_total_time,case_3_avg_total_time,case_4_avg_total_time,best_so_far_avg_total_time,weights_json
waiting,9.5,58.3325,53.97,53.69,67.53,58.14,58.3325,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 9.5}"
waiting,9.75,58.3325,53.97,53.69,67.53,58.14,58.3325,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 9.75}"
waiting,10.0,58.3275,53.97,53.69,67.49,58.16,58.3275,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 10.0}"
maneuver,-10.0,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -10.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-9.75,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -9.75, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-9.5,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -9.5, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-9.25,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -9.25, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-9.0,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -9.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-8.75,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -8.75, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-8.5,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -8.5, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
