seed,policy_type,num_robots,num_aisles,capacity,arrival_rate,Favg,Fmax,Throughput,BlockingTime,AvgQueueLength,DeadlockCount,TriggerCount,RerouteCount,CollisionAttempts,ForcedRelocationCount,RobotUtilization,AverageTravelDistance,Zone0AvgQueueLength,Zone1AvgQueueLength,Zone2AvgQueueLength,Zone3AvgQueueLength,Zone4AvgQueueLength
1,fsd,5,12,small,low,27.675675675675677,64.0,37.0,28.0,0.0,0.0,15.0,0.0,14,0,0.4904,239.6,0.0,0.0,0.0,0.0,0.0
1,rule_based,5,12,small,medium,34.5,81.0,58.0,99.0,0.1,0.0,0.0,12.0,45,0,0.8268,393.6,0.006,0.006,0.066,0.008,0.014
1,fsd,5,12,small,medium,44.55357142857143,112.0,56.0,92.0,1.042,0.0,42.0,0.0,57,0,0.868,415.6,0.232,0.094,0.324,0.238,0.154
1,rule_based,5,12,small,high,49.36486486486486,226.0,74.0,429.0,11.338,0.0,0.0,59.0,219,0,0.9656,397.0,0.2,0.43,7.656,2.23,0.822
1,fsd,5,12,small,high,94.44117647058823,192.0,68.0,175.0,13.45,0.0,79.0,0.0,112,0,0.9748,452.4,0.718,0.658,10.252,1.392,0.43
1,rule_based,5,12,large,low,41.05263157894737,137.0,38.0,112.0,0.076,0.0,0.0,15.0,50,0,0.6504,302.8,0.016,0.026,0.028,0.006,0.0
1,fsd,5,12,large,low,39.3421052631579,89.0,38.0,44.0,0.012,0.0,23.0,0.0,25,0,0.6644,323.4,0.004,0.006,0.002,0.0,0.0
1,rule_based,5,12,large,medium,80.125,297.0,48.0,195.0,6.204,0.0,0.0,30.0,99,0,0.968,445.0,1.714,1.674,1.352,1.144,0.32
1,fsd,5,12,large,medium,84.7843137254902,173.0,51.0,42.0,5.184,0.0,21.0,0.0,22,0,0.968,475.6,1.49,0.664,1.006,1.636,0.388
1,rule_based,5,12,large,high,56.19047619047619,294.0,42.0,821.0,23.01,0.0,0.0,130.0,422,0,0.98,325.8,0.726,2.028,16.152,2.412,1.692
1,fsd,5,12,large,high,130.1818181818182,265.0,55.0,86.0,20.06,0.0,41.0,0.0,56,0,0.98,472.8,1.242,1.108,13.808,2.556,1.346
2,rule_based,3,6,small,low,29.23076923076923,53.0,39.0,105.0,0.072,0.0,0.0,13.0,52,0,0.776,353.0,0.0,0.062,0.01,,
2,fsd,3,6,small,low,31.102564102564102,54.0,39.0,46.0,0.176,0.0,24.0,0.0,23,0,0.826,397.6666666666667,0.048,0.076,0.052,,
2,rule_based,3,6,small,medium,45.8235294117647,188.0,51.0,94.0,4.574,0.0,0.0,12.0,50,0,0.9826666666666667,460.0,2.174,1.702,0.698,,
2,fsd,3,6,small,medium,73.64,155.0,50.0,40.0,5.816,0.0,15.0,0.0,28,0,0.9826666666666667,478.0,1.22,1.992,2.604,,
2,rule_based,3,6,small,high,37.62,145.0,50.0,672.0,20.802,0.0,0.0,110.0,337,0,0.99,271.0,3.262,9.392,8.148,,
